name,set,google_search_url,Ungraded,Grade_9,Grade_10,final_url
Shinx,Shining Fates,https://www.google.com/search?q=Shinx Shining Fates site:pricecharting.com,1.29,11,13,https://www.pricecharting.com/game/pokemon-shining-fates/shinx-reverse-holo-31
Rotom,Shining Fates,https://www.google.com/search?q=Rotom Shining Fates site:pricecharting.com,3.96,11.01,41.38,https://www.pricecharting.com/game/pokemon-shining-fates/rotom-sv038
Golduck,151,https://www.google.com/search?q=Golduck 151 site:pricecharting.com,1.49,12.17,27.5,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/golduck-reverse-holo-55
Skitty,Boundaries Crossed,https://www.google.com/search?q=Skitty Boundaries Crossed site:pricecharting.com,1.99,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/skitty-reverse-holo-113
Manaphy,Shining Fates,https://www.google.com/search?q=Manaphy Shining Fates site:pricecharting.com,1.47,5.5,22.75,https://www.pricecharting.com/game/pokemon-shining-fates/manaphy-24
Gossifleur,Evolving Skies,https://www.google.com/search?q=Gossifleur Evolving Skies site:pricecharting.com,0.52,,,https://www.pricecharting.com/game/pokemon-evolving-skies/gossifleur-15
Persian,151,https://www.google.com/search?q=Persian 151 site:pricecharting.com,1.88,22.49,35,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/persian-reverse-53
Galarian Moltres,Evolving Skies,https://www.google.com/search?q=Galarian Moltres Evolving Skies site:pricecharting.com,1.69,13.23,39.75,https://www.pricecharting.com/game/pokemon-evolving-skies/galarian-moltres-holo-93
Porygon,Base,https://www.google.com/search?q=Porygon Base site:pricecharting.com,3.12,24.58,110.57,https://www.pricecharting.com/game/pokemon-base-set/porygon-39
Quagsire,Neo Genesis,https://www.google.com/search?q=Quagsire Neo Genesis site:pricecharting.com,3.9,24.99,38.5,https://www.pricecharting.com/game/pokemon-neo-genesis/quagsire-45
Unown P,Majestic Dawn,https://www.google.com/search?q=Unown P Majestic Dawn site:pricecharting.com,4.49,,,https://www.pricecharting.com/game/pokemon-majestic-dawn/unown-p-reverse-holo-33
Reshiram,Shining Fates,https://www.google.com/search?q=Reshiram Shining Fates site:pricecharting.com,2.44,11.19,35.81,https://www.pricecharting.com/game/pokemon-shining-fates/reshiram-17
Bellsprout,151,https://www.google.com/search?q=Bellsprout 151 site:pricecharting.com,1.36,12,35.53,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/bellsprout-reverse-holo-69
Dragonite V,Evolving Skies,https://www.google.com/search?q=Dragonite V Evolving Skies site:pricecharting.com,220.41,226.25,468.22,https://www.pricecharting.com/game/pokemon-evolving-skies/dragonite-v-192
Machamp BREAK,Evolutions,https://www.google.com/search?q=Machamp BREAK Evolutions site:pricecharting.com,3.57,13.5,37.25,https://www.pricecharting.com/game/pokemon-evolutions/machamp-break-60
Murkrow,Neo Genesis,https://www.google.com/search?q=Murkrow Neo Genesis site:pricecharting.com,3.44,23.71,60.68,https://www.pricecharting.com/game/pokemon-neo-genesis/murkrow-24
Dhelmise,Cosmic Eclipse,https://www.google.com/search?q=Dhelmise Cosmic Eclipse site:pricecharting.com,0.99,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/dhelmise-98
Hoppip,Evolving Skies,https://www.google.com/search?q=Hoppip Evolving Skies site:pricecharting.com,0.69,11.32,32.63,https://www.pricecharting.com/game/pokemon-evolving-skies/hoppip-2
Starly,Majestic Dawn,https://www.google.com/search?q=Starly Majestic Dawn site:pricecharting.com,1.5,,,https://www.pricecharting.com/game/pokemon-majestic-dawn/starly-75
Black Kyurem,Cosmic Eclipse,https://www.google.com/search?q=Black Kyurem Cosmic Eclipse site:pricecharting.com,2.86,16.75,41.49,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/black-kyurem-61
Rhyhorn,151,https://www.google.com/search?q=Rhyhorn 151 site:pricecharting.com,1.62,12.47,34.01,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/rhyhorn-reverse-holo-111
Crabrawler,Cosmic Eclipse,https://www.google.com/search?q=Crabrawler Cosmic Eclipse site:pricecharting.com,1.16,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/crabrawler-reverse-holo-121
Bulbasaur,151,https://www.google.com/search?q=Bulbasaur 151 site:pricecharting.com,38.54,39.87,148,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/bulbasaur-166
Floette,Evolving Skies,https://www.google.com/search?q=Floette Evolving Skies site:pricecharting.com,0.88,,,https://www.pricecharting.com/game/pokemon-evolving-skies/floette-72
Tangela,Cosmic Eclipse,https://www.google.com/search?q=Tangela Cosmic Eclipse site:pricecharting.com,1.44,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/tangela-5
Tauros,151,https://www.google.com/search?q=Tauros 151 site:pricecharting.com,2.77,14.22,41.7,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/tauros-reverse-holo-128
Ambipom,Cosmic Eclipse,https://www.google.com/search?q=Ambipom Cosmic Eclipse site:pricecharting.com,1.35,4.16,35.43,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/ambipom-reverse-holo-170
Silvally-GX,Cosmic Eclipse,https://www.google.com/search?q=Silvally-GX Cosmic Eclipse site:pricecharting.com,5.57,15.5,39.02,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/silvally-gx-184
Dragonair,Base,https://www.google.com/search?q=Dragonair Base site:pricecharting.com,8,32,203.25,https://www.pricecharting.com/game/pokemon-base-set/dragonair-18
Paras,Jungle,https://www.google.com/search?q=Paras Jungle site:pricecharting.com,2.46,16.35,52.3,https://www.pricecharting.com/game/pokemon-jungle/paras-1st-edition-59
Darmanitan,Boundaries Crossed,https://www.google.com/search?q=Darmanitan Boundaries Crossed site:pricecharting.com,1.2,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/darmanitan-28
Pachirisu,Majestic Dawn,https://www.google.com/search?q=Pachirisu Majestic Dawn site:pricecharting.com,2.95,28.32,77.5,https://www.pricecharting.com/game/pokemon-majestic-dawn/pachirisu-43
Tangela,151,https://www.google.com/search?q=Tangela 151 site:pricecharting.com,8.5,16,69.31,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/tangela-178
Hoothoot,Neo Genesis,https://www.google.com/search?q=Hoothoot Neo Genesis site:pricecharting.com,1.57,30.66,81.42,https://www.pricecharting.com/game/pokemon-neo-genesis/hoothoot-60
Tauros,Jungle,https://www.google.com/search?q=Tauros Jungle site:pricecharting.com,1.63,22.39,61.43,https://www.pricecharting.com/game/pokemon-jungle/tauros-47
Palpitoad,Evolving Skies,https://www.google.com/search?q=Palpitoad Evolving Skies site:pricecharting.com,1.36,12.64,35.25,https://www.pricecharting.com/game/pokemon-evolving-skies/palpitoad-89
Vaporeon,Cosmic Eclipse,https://www.google.com/search?q=Vaporeon Cosmic Eclipse site:pricecharting.com,2.49,24.99,39.99,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/vaporeon-42
Sunflora,Neo Genesis,https://www.google.com/search?q=Sunflora Neo Genesis site:pricecharting.com,2.02,13,37.04,https://www.pricecharting.com/game/pokemon-neo-genesis/sunflora-50
Scyther,Boundaries Crossed,https://www.google.com/search?q=Scyther Boundaries Crossed site:pricecharting.com,7.33,160,192,https://www.pricecharting.com/game/pokemon-boundaries-crossed/scyther-reverse-holo-7
Raticate,Evolutions,https://www.google.com/search?q=Raticate Evolutions site:pricecharting.com,2.49,9.24,47.76,https://www.pricecharting.com/game/pokemon-evolutions/raticate-reverse-holo-67
Electivire,Boundaries Crossed,https://www.google.com/search?q=Electivire Boundaries Crossed site:pricecharting.com,2.05,12,225,https://www.pricecharting.com/game/pokemon-boundaries-crossed/electivire-54
Marowak,151,https://www.google.com/search?q=Marowak 151 site:pricecharting.com,1.31,10,29.07,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/marowak-holo-105
Nidorino,Base,https://www.google.com/search?q=Nidorino Base site:pricecharting.com,2.24,24.86,188.3,https://www.pricecharting.com/game/pokemon-base-set/nidorino-37
Heliolisk,Cosmic Eclipse,https://www.google.com/search?q=Heliolisk Cosmic Eclipse site:pricecharting.com,1.78,14.21,37.16,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/heliolisk-reverse-holo-180
Machop,151,https://www.google.com/search?q=Machop 151 site:pricecharting.com,1.55,14.99,15,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/machop-reverse-holo-66
Scyther,Hidden Fates,https://www.google.com/search?q=Scyther Hidden Fates site:pricecharting.com,5.56,23,42.15,https://www.pricecharting.com/game/pokemon-hidden-fates/scyther-sv1
Sandshrew,Boundaries Crossed,https://www.google.com/search?q=Sandshrew Boundaries Crossed site:pricecharting.com,3.43,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/sandshrew-reverse-holo-78
Charmander,Base,https://www.google.com/search?q=Charmander Base site:pricecharting.com,2.09,29.99,110.26,https://www.pricecharting.com/game/pokemon-base-set/charmander-46
Gastly,Evolutions,https://www.google.com/search?q=Gastly Evolutions site:pricecharting.com,1.64,15.15,55,https://www.pricecharting.com/game/pokemon-evolutions/gastly-reverse-holo-47
Ariados,Neo Genesis,https://www.google.com/search?q=Ariados Neo Genesis site:pricecharting.com,1.6,33,49.5,https://www.pricecharting.com/game/pokemon-neo-genesis/ariados-27
Nidoqueen,151,https://www.google.com/search?q=Nidoqueen 151 site:pricecharting.com,1.13,11.72,20,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/nidoqueen-31
Miltank,Neo Genesis,https://www.google.com/search?q=Miltank Neo Genesis site:pricecharting.com,2.99,17,45.09,https://www.pricecharting.com/game/pokemon-neo-genesis/miltank-41
Beedrill,Base,https://www.google.com/search?q=Beedrill Base site:pricecharting.com,4,27.2,68.89,https://www.google.com/search?q=Beedrill%20Base%20site:pricecharting.com&channel=35
Surfing Pikachu,Evolutions,https://www.google.com/search?q=Surfing Pikachu Evolutions site:pricecharting.com,3.86,29.5,111.91,https://www.pricecharting.com/game/pokemon-evolutions/surfing-pikachu-111
Drowzee,Base,https://www.google.com/search?q=Drowzee Base site:pricecharting.com,1.95,18.79,55.14,https://www.pricecharting.com/game/pokemon-base-set/drowzee-49
Hoppip,Neo Genesis,https://www.google.com/search?q=Hoppip Neo Genesis site:pricecharting.com,1.27,6.03,22.68,https://www.pricecharting.com/game/pokemon-neo-genesis/hoppip-61
Graveler,Hidden Fates,https://www.google.com/search?q=Graveler Hidden Fates site:pricecharting.com,1.59,6.83,36.39,https://www.pricecharting.com/game/pokemon-hidden-fates/graveler-reverse-holo-34
Butterfree,Hidden Fates,https://www.google.com/search?q=Butterfree Hidden Fates site:pricecharting.com,1.3,7.06,34.1,https://www.pricecharting.com/game/pokemon-hidden-fates/butterfree-3
Trevenant,Cosmic Eclipse,https://www.google.com/search?q=Trevenant Cosmic Eclipse site:pricecharting.com,1.22,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/trevenant-94
Mewtwo,Evolutions,https://www.google.com/search?q=Mewtwo Evolutions site:pricecharting.com,1.88,18.78,59.99,https://www.pricecharting.com/game/pokemon-evolutions/mewtwo-51
Shelgon,Evolving Skies,https://www.google.com/search?q=Shelgon Evolving Skies site:pricecharting.com,0.99,12.12,34.23,https://www.pricecharting.com/game/pokemon-evolving-skies/shelgon-108
Chansey,151,https://www.google.com/search?q=Chansey 151 site:pricecharting.com,1.56,9.3,29.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/chansey-113
Kakuna,151,https://www.google.com/search?q=Kakuna 151 site:pricecharting.com,3,14.58,35,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/kakuna-reverse-holo-14
Cacnea,Shining Fates,https://www.google.com/search?q=Cacnea Shining Fates site:pricecharting.com,1.36,7.5,9,https://www.pricecharting.com/game/pokemon-shining-fates/cacnea-reverse-holo-4
Rotom,Majestic Dawn,https://www.google.com/search?q=Rotom Majestic Dawn site:pricecharting.com,4.8,12,108.91,https://www.pricecharting.com/game/pokemon-majestic-dawn/rotom-13
Farfetch'd,Base,https://www.google.com/search?q=Farfetch'd Base site:pricecharting.com,1.99,24.57,75.5,https://www.pricecharting.com/game/pokemon-base-set/farfetch%27d-27
Pikachu,Majestic Dawn,https://www.google.com/search?q=Pikachu Majestic Dawn site:pricecharting.com,2,18.49,88.5,https://www.pricecharting.com/game/pokemon-majestic-dawn/pikachu-70
Vaporeon,151,https://www.google.com/search?q=Vaporeon 151 site:pricecharting.com,1.59,16.63,23.41,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/vaporeon-holo-134
Tangela,Evolutions,https://www.google.com/search?q=Tangela Evolutions site:pricecharting.com,1.39,10,42.74,https://www.pricecharting.com/game/pokemon-evolutions/tangela-8
Woobat,Boundaries Crossed,https://www.google.com/search?q=Woobat Boundaries Crossed site:pricecharting.com,1.76,4.99,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/woobat-reverse-holo-70
Empoleon,Majestic Dawn,https://www.google.com/search?q=Empoleon Majestic Dawn site:pricecharting.com,1.95,15.02,62.04,https://www.pricecharting.com/game/pokemon-majestic-dawn/empoleon-17
Poliwhirl,Base,https://www.google.com/search?q=Poliwhirl Base site:pricecharting.com,1.99,19.21,102.5,https://www.pricecharting.com/game/pokemon-base-set/poliwhirl-38
Onix,Cosmic Eclipse,https://www.google.com/search?q=Onix Cosmic Eclipse site:pricecharting.com,1.19,12.81,34.78,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/onix-reverse-holo-105
Venusaur & Snivy-GX,Cosmic Eclipse,https://www.google.com/search?q=Venusaur & Snivy-GX Cosmic Eclipse site:pricecharting.com,19.45,24.99,80.1,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/venusaur-&-snivy-gx-210
Gligar,Boundaries Crossed,https://www.google.com/search?q=Gligar Boundaries Crossed site:pricecharting.com,1.34,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/gligar-80
Electrode,Evolutions,https://www.google.com/search?q=Electrode Evolutions site:pricecharting.com,1.27,7.5,22.74,https://www.pricecharting.com/game/pokemon-evolutions/electrode-40
Rockruff,Cosmic Eclipse,https://www.google.com/search?q=Rockruff Cosmic Eclipse site:pricecharting.com,1.14,12.34,33.98,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/rockruff-123
Kakuna,Base,https://www.google.com/search?q=Kakuna Base site:pricecharting.com,2.08,33.14,68.44,https://www.pricecharting.com/game/pokemon-base-set/kakuna-33
Ekans,151,https://www.google.com/search?q=Ekans 151 site:pricecharting.com,1.21,5,35.11,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/ekans-reverse-holo-23
Mantine,Neo Genesis,https://www.google.com/search?q=Mantine Neo Genesis site:pricecharting.com,1.44,19.99,24,https://www.pricecharting.com/game/pokemon-neo-genesis/mantine-64
Shellder,151,https://www.google.com/search?q=Shellder 151 site:pricecharting.com,1.77,12.7,37.47,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/shellder-reverse-holo-90
Krabby,151,https://www.google.com/search?q=Krabby 151 site:pricecharting.com,1.44,11.81,35.03,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/krabby-98
Tentacool,151,https://www.google.com/search?q=Tentacool 151 site:pricecharting.com,1.55,12.53,37.01,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/tentacool-reverse-holo-72
Dartrix,Shining Fates,https://www.google.com/search?q=Dartrix Shining Fates site:pricecharting.com,3.27,7.54,18.03,https://www.pricecharting.com/game/pokemon-shining-fates/dartrix-sv002
Deerling,Cosmic Eclipse,https://www.google.com/search?q=Deerling Cosmic Eclipse site:pricecharting.com,1.08,12.55,34.34,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/deerling-15
Clefairy,Neo Genesis,https://www.google.com/search?q=Clefairy Neo Genesis site:pricecharting.com,2.49,11.38,59.93,https://www.pricecharting.com/game/pokemon-neo-genesis/clefairy-30
Starmie,151,https://www.google.com/search?q=Starmie 151 site:pricecharting.com,1.42,6,19.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/starmie-121
Palpitoad,Cosmic Eclipse,https://www.google.com/search?q=Palpitoad Cosmic Eclipse site:pricecharting.com,0.99,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/palpitoad-116
