name,set,google_search_url,Ungraded,Grade_9,Grade_10,final_url
Medicham V,Evolving Skies,https://www.google.com/search?q=Medicham V Evolving Skies site:pricecharting.com,16,22.5,58.18,https://www.pricecharting.com/game/pokemon-evolving-skies/medicham-v-186
Raichu,Majestic Dawn,https://www.google.com/search?q=Raichu Majestic Dawn site:pricecharting.com,2.99,17.23,50.24,https://www.pricecharting.com/game/pokemon-majestic-dawn/raichu-45
Fletchling,Evolving Skies,https://www.google.com/search?q=Fletchling Evolving Skies site:pricecharting.com,0.71,,,https://www.pricecharting.com/game/pokemon-evolving-skies/fletchling-138
Samurott,Boundaries Crossed,https://www.google.com/search?q=Samurott Boundaries Crossed site:pricecharting.com,2.34,5.63,122.22,https://www.pricecharting.com/game/pokemon-boundaries-crossed/samurott-41
Zapdos,Base,https://www.google.com/search?q=Zapdos Base site:pricecharting.com,16.25,105,532.5,https://www.pricecharting.com/game/pokemon-base-set/zapdos-16
Zorua,Evolving Skies,https://www.google.com/search?q=Zorua Evolving Skies site:pricecharting.com,1.04,11.99,33.96,https://www.pricecharting.com/game/pokemon-evolving-skies/zorua-102
Wartortle,Boundaries Crossed,https://www.google.com/search?q=Wartortle Boundaries Crossed site:pricecharting.com,1.54,13.37,22.5,https://www.pricecharting.com/game/pokemon-boundaries-crossed/wartortle-30
Sneasel,Cosmic Eclipse,https://www.google.com/search?q=Sneasel Cosmic Eclipse site:pricecharting.com,1.19,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/sneasel-43
Koffing,Shining Fates,https://www.google.com/search?q=Koffing Shining Fates site:pricecharting.com,4.64,9.38,29.19,https://www.pricecharting.com/game/pokemon-shining-fates/koffing-sv076
Smeargle,Evolving Skies,https://www.google.com/search?q=Smeargle Evolving Skies site:pricecharting.com,1.35,12.75,35.48,https://www.pricecharting.com/game/pokemon-evolving-skies/smeargle-128
Moltres,Majestic Dawn,https://www.google.com/search?q=Moltres Majestic Dawn site:pricecharting.com,10.42,47.49,405,https://www.pricecharting.com/game/pokemon-majestic-dawn/moltres-10
Skiploom,Neo Genesis,https://www.google.com/search?q=Skiploom Neo Genesis site:pricecharting.com,1.66,19.9,24,https://www.pricecharting.com/game/pokemon-neo-genesis/skiploom-49
Charizard-GX,Hidden Fates,https://www.google.com/search?q=Charizard-GX Hidden Fates site:pricecharting.com,453.46,453.13,936.98,https://www.pricecharting.com/game/pokemon-hidden-fates/charizard-gx-sv49
Arcanine,Base,https://www.google.com/search?q=Arcanine Base site:pricecharting.com,62.02,179.96,902.73,https://www.pricecharting.com/game/pokemon-base-set/arcanine-1st-edition-23
Dusclops,Boundaries Crossed,https://www.google.com/search?q=Dusclops Boundaries Crossed site:pricecharting.com,1.75,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/dusclops-62
Aipom,Cosmic Eclipse,https://www.google.com/search?q=Aipom Cosmic Eclipse site:pricecharting.com,1.14,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/aipom-169
Drowzee,151,https://www.google.com/search?q=Drowzee 151 site:pricecharting.com,1.45,4.99,39.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/drowzee-reverse-holo-96
Snorunt,Cosmic Eclipse,https://www.google.com/search?q=Snorunt Cosmic Eclipse site:pricecharting.com,1.21,12.86,34.86,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/snorunt-47
Cryogonal,Boundaries Crossed,https://www.google.com/search?q=Cryogonal Boundaries Crossed site:pricecharting.com,1.68,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/cryogonal-reverse-holo-46
M Venusaur-EX,Evolutions,https://www.google.com/search?q=M Venusaur-EX Evolutions site:pricecharting.com,10.27,26.66,107.47,https://www.pricecharting.com/game/pokemon-evolutions/m-venusaur-ex-2
Luxio,Shining Fates,https://www.google.com/search?q=Luxio Shining Fates site:pricecharting.com,0.99,12.08,33.92,https://www.pricecharting.com/game/pokemon-shining-fates/luxio-32
Slowpoke,Neo Genesis,https://www.google.com/search?q=Slowpoke Neo Genesis site:pricecharting.com,1.61,22,73.44,https://www.pricecharting.com/game/pokemon-neo-genesis/slowpoke-73
Ivysaur,151,https://www.google.com/search?q=Ivysaur 151 site:pricecharting.com,28,32.79,155,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/ivysaur-167
